X,Y,Z,R,G,B,nX,nY,nZ
2.459719999999999962e-01,-4.931640000000000329e-02,-2.839360000000000217e-01,6.117647058823529882e-01,6.745098039215686736e-01,7.058823529411765163e-01,-2.995459999999999789e-01,8.748629999999999463e-01,3.806399999999999784e-01
2.473140000000000061e-01,-4.931640000000000329e-02,-2.839360000000000217e-01,6.117647058823529882e-01,6.745098039215686736e-01,7.058823529411765163e-01,-4.562669999999999781e-01,7.939570000000000238e-01,4.018120000000000025e-01
2.478029999999999955e-01,-4.913329999999999781e-02,-2.829590000000000161e-01,6.117647058823529882e-01,6.745098039215686736e-01,7.058823529411765163e-01,-3.748310000000000253e-01,7.384730000000000461e-01,5.604980000000000517e-01
2.491460000000000063e-01,-4.913329999999999781e-02,-2.829590000000000161e-01,6.117647058823529882e-01,6.745098039215686736e-01,7.058823529411765163e-01,0.000000000000000000e+00,6.392020000000000479e-01,7.690390000000000281e-01
2.509770000000000056e-01,-4.895019999999999927e-02,-2.819820000000000104e-01,6.117647058823529882e-01,6.745098039215686736e-01,7.058823529411765163e-01,-2.760360000000000036e-01,6.524480000000000279e-01,7.057729999999999837e-01
2.451170000000000015e-01,-5.047610000000000291e-02,-2.829590000000000161e-01,7.450980392156862919e-01,7.921568627450980005e-01,8.470588235294117530e-01,-1.045760000000000023e-01,7.490529999999999688e-01,6.542050000000000365e-01
2.464600000000000124e-01,-5.047610000000000291e-02,-2.829590000000000161e-01,7.450980392156862919e-01,7.921568627450980005e-01,8.470588235294117530e-01,-2.583250000000000268e-01,6.458129999999999704e-01,7.184669999999999668e-01
2.469480000000000008e-01,-5.029299999999999743e-02,-2.819820000000000104e-01,7.450980392156862919e-01,7.921568627450980005e-01,8.470588235294117530e-01,-5.773500000000000298e-01,5.773500000000000298e-01,5.773500000000000298e-01
2.482910000000000117e-01,-5.029299999999999743e-02,-2.819820000000000104e-01,7.450980392156862919e-01,7.921568627450980005e-01,8.470588235294117530e-01,0.000000000000000000e+00,6.441360000000000419e-01,7.649110000000000076e-01
2.496339999999999948e-01,-5.029299999999999743e-02,-2.819820000000000104e-01,7.450980392156862919e-01,7.921568627450980005e-01,8.470588235294117530e-01,-2.709639999999999826e-01,6.527770000000000516e-01,7.074319999999999498e-01
2.500000000000000000e-01,-5.010989999999999889e-02,-2.810059999999999780e-01,7.450980392156862919e-01,7.921568627450980005e-01,8.470588235294117530e-01,-4.911710000000000242e-01,4.762879999999999892e-01,7.293150000000000466e-01
2.512210000000000276e-01,-5.010989999999999889e-02,-2.810059999999999780e-01,7.450980392156862919e-01,7.921568627450980005e-01,8.470588235294117530e-01,0.000000000000000000e+00,3.532399999999999984e-01,9.355329999999999480e-01
2.526860000000000217e-01,-5.010989999999999889e-02,-2.810059999999999780e-01,7.450980392156862919e-01,7.921568627450980005e-01,8.470588235294117530e-01,-1.264280000000000126e-01,5.057120000000000504e-01,8.533880000000000354e-01
2.327879999999999949e-01,-5.236819999999999670e-02,-2.858890000000000042e-01,7.882352941176470340e-01,8.352941176470588536e-01,8.901960784313724950e-01,-2.310409999999999964e-01,8.355470000000000397e-01,4.984799999999999787e-01
2.341310000000000058e-01,-5.236819999999999670e-02,-2.858890000000000042e-01,7.882352941176470340e-01,8.352941176470588536e-01,8.901960784313724950e-01,-4.449500000000000122e-01,8.072310000000000318e-01,3.878110000000000168e-01
2.442630000000000079e-01,-5.163569999999999965e-02,-2.819820000000000104e-01,7.960784313725489669e-01,8.392156862745098200e-01,8.823529411764705621e-01,-1.281519999999999881e-01,5.126070000000000348e-01,8.490060000000000384e-01
