X,Y,Z,R,G,B,nX,nY,nZ
-1.89746,1.74219,-3.11719,0.6627450980392157,0.5607843137254902,0.3333333333333333,0.691408,-0.572199,0.44107
-1.8877,1.74707,-3.125,0.6901960784313725,0.5843137254901961,0.3686274509803922,0.441866,-0.627165,0.641419
-1.875,1.74902,-3.12891,0.6941176470588235,0.5882352941176471,0.3725490196078431,0.170382,-0.589237,0.789791
-1.86035,1.75,-3.13086,0.6666666666666666,0.5568627450980392,0.3764705882352941,-0.0134264,-0.516915,0.855931
-1.90137,1.73145,-3.125,0.6470588235294118,0.5450980392156862,0.3176470588235294,0.673095,-0.652261,0.348567
-1.8916,1.73633,-3.13281,0.6901960784313725,0.5843137254901961,0.3686274509803922,0.492328,-0.690651,0.529731
-1.87891,1.73828,-3.13672,0.6941176470588235,0.5882352941176471,0.3725490196078431,0.179401,-0.690006,0.701218
-1.86523,1.73926,-3.13672,0.6666666666666666,0.5568627450980392,0.3764705882352941,0.016297,-0.625804,0.77981
-1.9082,1.72266,-3.13477,0.6470588235294118,0.5450980392156862,0.3176470588235294,0.552527,-0.809009,0.200547
-1.89746,1.72656,-3.14258,0.6901960784313725,0.5843137254901961,0.3686274509803922,0.412521,-0.838743,0.355438
-1.88574,1.72852,-3.14648,0.6941176470588235,0.5882352941176471,0.3725490196078431,0.16987,-0.835324,0.522856
-1.87109,1.72949,-3.14648,0.6666666666666666,0.5568627450980392,0.3764705882352941,-0.00289308,-0.801383,0.598144
-1.91699,1.71484,-3.14844,0.6470588235294118,0.5450980392156862,0.3176470588235294,0.442747,-0.889132,0.115842
-1.90625,1.71875,-3.15625,0.6901960784313725,0.5843137254901961,0.3686274509803922,0.33199,-0.911633,0.242299
-1.89355,1.7207,-3.16016,0.6941176470588235,0.5882352941176471,0.3725490196078431,0.162398,-0.911928,0.376847
-1.87891,1.72168,-3.16016,0.6666666666666666,0.5568627450980392,0.3764705882352941,0.00913359,-0.900311,0.435151
-1.92676,1.70898,-3.16602,0.6470588235294118,0.5450980392156862,0.3176470588235294,0.322506,-0.94588,0.036063
-1.91504,1.71289,-3.17188,0.6901960784313725,0.5843137254901961,0.3686274509803922,0.251442,-0.959746,0.12516
-1.90234,1.71387,-3.17383,0.6941176470588235,0.5882352941176471,0.3725490196078431,0.101584,-0.966225,0.236832
-1.8877,1.71484,-3.17578,0.6666666666666666,0.5568627450980392,0.3764705882352941,0.0427253,-0.953814,0.297345
-1.94043,1.70605,-3.1875,0.6470588235294118,0.5450980392156862,0.3176470588235294,0.181417,-0.982887,-0.0319396
-1.92773,1.70801,-3.19141,0.6901960784313725,0.5843137254901961,0.3686274509803922,0.169845,-0.98474,0.0379441
-1.91406,1.70996,-3.19531,0.6941176470588235,0.5882352941176471,0.3725490196078431,0.0826077,-0.991292,0.102547
-1.89941,1.70996,-3.19531,0.6666666666666666,0.5568627450980392,0.3764705882352941,0.00282028,-0.988039,0.154176
-1.95605,1.70508,-3.21289,0.6470588235294118,0.5450980392156862,0.3176470588235294,0.12454,-0.989205,-0.077215
-1.94238,1.70605,-3.2168,0.6823529411764706,0.5764705882352941,0.3607843137254902,0.065258,-0.997623,-0.0221277
-1.92871,1.70703,-3.21875,0.6941176470588235,0.5882352941176471,0.3725490196078431,0.0811362,-0.996703,0.000397727
-1.91406,1.70801,-3.21875,0.6666666666666666,0.5568627450980392,0.3764705882352941,-0.0117777,-0.998745,0.048681
