X,Y,Z,R,G,B,nX,nY,nZ
-6.604000000000000148e-02,6.536870000000000180e-02,-3.232419999999999738e-01,7.137254901960784492e-01,3.529411764705882026e-01,1.764705882352941013e-01,-2.219740000000000046e-01,4.970439999999999858e-01,8.388529999999999598e-01
-6.451419999999999377e-02,6.536870000000000180e-02,-3.232419999999999738e-01,7.098039215686274828e-01,3.411764705882353033e-01,1.843137254901960898e-01,-3.937519999999999909e-01,3.225810000000000066e-01,8.607559999999999656e-01
-6.256100000000000549e-02,6.494139999999999635e-02,-3.210450000000000248e-01,6.627450980392156632e-01,3.137254901960784270e-01,1.686274509803921129e-01,-4.019900000000000140e-01,0.000000000000000000e+00,9.156440000000000135e-01
-6.774900000000000366e-02,6.402589999999999670e-02,-3.242189999999999794e-01,7.960784313725489669e-01,4.039215686274509887e-01,1.490196078431371973e-01,-6.158850000000000158e-01,1.908019999999999994e-01,7.643820000000000059e-01
-6.579590000000000438e-02,6.359860000000000513e-02,-3.220210000000000017e-01,7.921568627450980005e-01,4.078431372549018996e-01,1.607843137254902077e-01,-4.818479999999999985e-01,2.583179999999999921e-01,8.373129999999999740e-01
-6.426999999999999380e-02,6.359860000000000513e-02,-3.220210000000000017e-01,7.843137254901960675e-01,3.921568627450979783e-01,1.450980392156862864e-01,-2.237010000000000109e-01,5.009109999999999951e-01,8.360899999999999999e-01
-6.256100000000000549e-02,6.341549999999999965e-02,-3.210450000000000248e-01,7.333333333333332815e-01,3.372549019607842813e-01,1.098039215686273939e-01,-3.398499999999999854e-01,3.382539999999999991e-01,8.775460000000000482e-01
-6.103519999999999779e-02,6.341549999999999965e-02,-3.210450000000000248e-01,7.137254901960784492e-01,3.176470588235293935e-01,9.803921568627449457e-02,-1.902469999999999994e-01,1.902469999999999994e-01,9.631260000000000376e-01
-5.932620000000000254e-02,6.323239999999999417e-02,-3.200680000000000192e-01,6.980392156862744724e-01,3.254901960784313819e-01,1.098039215686273939e-01,-2.307240000000000124e-01,1.153620000000000062e-01,9.661560000000000148e-01
-6.933590000000000586e-02,6.246949999999999725e-02,-3.242189999999999794e-01,8.156862745098039102e-01,4.313725490196078094e-01,1.843137254901960898e-01,-5.497140000000000359e-01,3.696099999999999941e-01,7.491349999999999953e-01
-6.756589999999999818e-02,6.228639999999999871e-02,-3.232419999999999738e-01,8.196078431372548767e-01,4.235294117647058765e-01,1.529411764705881915e-01,-4.254609999999999781e-01,4.380990000000000162e-01,7.918659999999999588e-01
-6.579590000000000438e-02,6.207279999999999742e-02,-3.220210000000000017e-01,8.274509803921568096e-01,4.078431372549018996e-01,1.450980392156862864e-01,-5.340019999999999767e-01,2.753929999999999989e-01,7.993749999999999467e-01
-6.408690000000000220e-02,6.188960000000000294e-02,-3.210450000000000248e-01,7.960784313725489669e-01,3.686274509803921795e-01,1.019607843137254055e-01,-3.263099999999999890e-01,3.263099999999999890e-01,8.871550000000000269e-01
-6.237790000000000001e-02,6.170649999999999746e-02,-3.200680000000000192e-01,7.490196078431372584e-01,3.254901960784313819e-01,9.019607843137250613e-02,-3.263099999999999890e-01,3.263099999999999890e-01,8.871550000000000269e-01
-6.085209999999999925e-02,6.170649999999999746e-02,-3.200680000000000192e-01,7.450980392156862919e-01,3.333333333333333148e-01,8.627450980392149804e-02,0.000000000000000000e+00,4.961389999999999967e-01,8.682429999999999870e-01
