X,Y,Z,R,G,B,nX,nY,nZ
3.222660000000000108e-02,4.833980000000000221e-02,-2.379149999999999876e-01,7.372549019607843590e-01,6.235294117647058876e-01,4.235294117647058765e-01,-4.176860000000000017e-01,4.176860000000000017e-01,8.068929999999999714e-01
3.347780000000000200e-02,4.833980000000000221e-02,-2.379149999999999876e-01,7.529411764705882248e-01,6.392156862745097534e-01,4.235294117647058765e-01,-3.601690000000000169e-01,3.571289999999999742e-01,8.618219999999999770e-01
3.457640000000000019e-02,4.815669999999999673e-02,-2.368159999999999987e-01,7.803921568627451011e-01,6.745098039215686736e-01,4.666666666666666741e-01,-3.585519999999999818e-01,3.585519999999999818e-01,8.619050000000000322e-01
3.582760000000000111e-02,4.815669999999999673e-02,-2.368159999999999987e-01,7.607843137254901578e-01,6.549019607843137303e-01,4.549019607843137192e-01,-1.174140000000000045e-01,4.412800000000000056e-01,8.896549999999999736e-01
3.707889999999999797e-02,4.815669999999999673e-02,-2.368159999999999987e-01,7.725490196078431682e-01,6.666666666666666297e-01,4.666666666666666741e-01,-2.432999999999999885e-01,2.432999999999999885e-01,9.389410000000000256e-01
3.814700000000000035e-02,4.794310000000000238e-02,-2.358399999999999941e-01,7.764705882352941346e-01,6.705882352941175961e-01,4.627450980392157076e-01,-2.420990000000000086e-01,2.450880000000000003e-01,9.387870000000000381e-01
3.939820000000000128e-02,4.794310000000000238e-02,-2.358399999999999941e-01,7.725490196078431682e-01,6.666666666666666297e-01,4.588235294117646856e-01,0.000000000000000000e+00,3.405940000000000079e-01,9.402099999999999902e-01
2.861019999999999883e-02,4.730220000000000258e-02,-2.388919999999999932e-01,7.372549019607843590e-01,6.078431372549019107e-01,3.882352941176470118e-01,-2.793030000000000235e-01,5.486299999999999510e-01,7.880319999999999547e-01
2.986149999999999916e-02,4.730220000000000258e-02,-2.388919999999999932e-01,7.450980392156862919e-01,6.235294117647058876e-01,4.117647058823529216e-01,-4.160909999999999886e-01,4.160909999999999886e-01,8.085400000000000365e-01
3.099060000000000009e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.529411764705882248e-01,6.392156862745097534e-01,4.392156862745097978e-01,-1.920489999999999975e-01,5.268620000000000525e-01,8.279689999999999550e-01
3.222660000000000108e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.568627450980391913e-01,6.431372549019608309e-01,4.431372549019607088e-01,-4.296590000000000131e-01,4.270390000000000019e-01,7.956320000000000059e-01
3.335570000000000201e-02,4.690550000000000275e-02,-2.368159999999999987e-01,7.843137254901960675e-01,6.705882352941175961e-01,4.627450980392157076e-01,-2.250350000000000128e-01,5.196359999999999868e-01,8.242190000000000349e-01
3.457640000000000019e-02,4.690550000000000275e-02,-2.368159999999999987e-01,7.882352941176470340e-01,6.823529411764706065e-01,4.745098039215686070e-01,-3.524889999999999968e-01,3.465969999999999884e-01,8.692649999999999544e-01
3.567499999999999838e-02,4.669190000000000146e-02,-2.358399999999999941e-01,7.803921568627451011e-01,6.823529411764706065e-01,4.901960784313724728e-01,-3.333570000000000144e-01,3.388669999999999738e-01,8.797970000000000512e-01
3.692630000000000218e-02,4.669190000000000146e-02,-2.358399999999999941e-01,7.960784313725489669e-01,6.980392156862744724e-01,5.058823529411764497e-01,0.000000000000000000e+00,5.587060000000000359e-01,8.293660000000000476e-01
3.814700000000000035e-02,4.669190000000000146e-02,-2.358399999999999941e-01,8.078431372549019773e-01,7.098039215686274828e-01,5.176470588235294601e-01,-1.096199999999999952e-01,4.304600000000000093e-01,8.959279999999999466e-01
3.939820000000000128e-02,4.669190000000000146e-02,-2.358399999999999941e-01,8.000000000000000444e-01,7.019607843137254388e-01,5.176470588235294601e-01,0.000000000000000000e+00,3.417430000000000190e-01,9.397929999999999895e-01
4.064940000000000220e-02,4.669190000000000146e-02,-2.358399999999999941e-01,7.921568627450980005e-01,6.941176470588235059e-01,5.019607843137254832e-01,0.000000000000000000e+00,3.405850000000000266e-01,9.402139999999999942e-01
2.494810000000000083e-02,4.623410000000000020e-02,-2.398679999999999979e-01,7.137254901960784492e-01,5.647058823529411686e-01,3.529411764705882026e-01,-2.751750000000000029e-01,5.503500000000000059e-01,7.882850000000000135e-01
2.610780000000000045e-02,4.605100000000000166e-02,-2.388919999999999932e-01,7.294117647058823151e-01,5.764705882352940680e-01,3.764705882352941124e-01,-2.751830000000000109e-01,5.503649999999999931e-01,7.882719999999999727e-01
2.735900000000000137e-02,4.605100000000000166e-02,-2.388919999999999932e-01,7.490196078431372584e-01,6.078431372549019107e-01,4.039215686274509887e-01,-2.839499999999999802e-01,5.598039999999999683e-01,7.784550000000000081e-01
2.848820000000000172e-02,4.583740000000000037e-02,-2.379149999999999876e-01,7.607843137254901578e-01,6.431372549019608309e-01,4.196078431372549100e-01,-2.677069999999999728e-01,5.765799999999999814e-01,7.719380000000000130e-01
2.973939999999999917e-02,4.583740000000000037e-02,-2.379149999999999876e-01,7.607843137254901578e-01,6.431372549019608309e-01,4.196078431372549100e-01,-2.256769999999999887e-01,5.147420000000000329e-01,8.271089999999999831e-01
3.085330000000000017e-02,4.565430000000000182e-02,-2.368159999999999987e-01,7.568627450980391913e-01,6.352941176470587870e-01,4.235294117647058765e-01,-4.279330000000000078e-01,4.279330000000000078e-01,7.960819999999999563e-01
3.210450000000000109e-02,4.565430000000000182e-02,-2.368159999999999987e-01,7.568627450980391913e-01,6.431372549019608309e-01,4.352941176470587759e-01,-1.972150000000000014e-01,5.295980000000000132e-01,8.250039999999999596e-01
3.320309999999999928e-02,4.547120000000000328e-02,-2.358399999999999941e-01,7.764705882352941346e-01,6.627450980392156632e-01,4.470588235294117863e-01,-4.219840000000000257e-01,4.219840000000000257e-01,8.024090000000000389e-01
