X,Y,Z,R,G,B,nX,nY,nZ
-2.15625,1.71387,-3.06445,0.3176470588235294,0.2862745098039215,0.2392156862745098,-0.138095,-0.502162,0.853676
-2.14258,1.71289,-3.06445,0.3294117647058823,0.2784313725490196,0.2352941176470588,-0.0699914,-0.499939,0.863228
-2.12695,1.71191,-3.0625,0.3098039215686274,0.2588235294117647,0.2156862745098039,-0.0480015,-0.576018,0.816026
-2.11133,1.71191,-3.0625,0.2941176470588235,0.2588235294117647,0.2235294117647059,0.0137348,-0.604329,0.796616
-2.05664,1.71484,-3.06641,0.3450980392156862,0.2588235294117647,0.1647058823529411,0.153534,-0.634605,0.757432
-2.04297,1.71582,-3.06836,0.3568627450980392,0.2784313725490196,0.192156862745098,0.167783,-0.650159,0.741041
-2.0293,1.7168,-3.07031,0.3803921568627451,0.2784313725490196,0.2196078431372549,0.137339,-0.655003,0.743041
-2.01562,1.71777,-3.07227,0.392156862745098,0.2980392156862745,0.2352941176470588,-0.0330033,-0.587459,0.808581
-2.0,1.7168,-3.07031,0.4196078431372549,0.3254901960784314,0.2705882352941176,-0.0736247,-0.595691,0.799832
-1.98535,1.71582,-3.07031,0.4901960784313725,0.4235294117647059,0.3529411764705882,-0.0966333,-0.576467,0.811386
-1.9707,1.71582,-3.06836,0.5333333333333333,0.5176470588235295,0.4745098039215686,0.0474252,-0.616528,0.785904
-1.94336,1.71777,-3.07227,0.5019607843137255,0.4901960784313725,0.4784313725490196,0.354148,-0.737505,0.575035
-1.92285,1.72559,-3.08594,0.4509803921568627,0.3490196078431372,0.2980392156862745,0.708101,-0.605044,0.364024
-1.91406,1.73047,-3.0957,0.4705882352941176,0.3568627450980392,0.2666666666666666,0.766528,-0.564111,0.306943
-1.90625,1.7373,-3.10742,0.5607843137254902,0.4274509803921568,0.2901960784313726,0.788583,-0.503006,0.353726
-1.89746,1.74219,-3.11719,0.6627450980392157,0.5607843137254902,0.3333333333333333,0.691408,-0.572199,0.44107
-1.8877,1.74707,-3.125,0.6901960784313725,0.5843137254901961,0.3686274509803922,0.441866,-0.627165,0.641419
-1.875,1.74902,-3.12891,0.6941176470588235,0.5882352941176471,0.3725490196078431,0.170382,-0.589237,0.789791
-1.86035,1.75,-3.13086,0.6666666666666666,0.5568627450980392,0.3764705882352941,-0.0134264,-0.516915,0.855931
-1.8457,1.74902,-3.12891,0.5411764705882353,0.4470588235294118,0.3411764705882353,-0.179312,-0.487132,0.854722
-1.8291,1.74805,-3.12695,0.4666666666666667,0.4117647058823529,0.3529411764705882,-0.241052,-0.412467,0.878501
-1.81055,1.74512,-3.12109,0.4313725490196078,0.3529411764705882,0.3137254901960784,-0.294345,-0.476682,0.828333
-1.79395,1.74219,-3.11719,0.4509803921568627,0.3843137254901961,0.3294117647058823,-0.320046,-0.468361,0.823534
-1.77637,1.74023,-3.11133,0.4862745098039215,0.4313725490196078,0.3725490196078431,-0.3073,-0.42867,0.849593
-1.44922,1.73828,-3.10938,0.5843137254901961,0.5686274509803921,0.5411764705882353,-0.0993784,-0.346221,0.932874
-0.344482,0.632812,-1.13184,0.8431372549019608,0.788235294117647,0.7647058823529411,0.0,0.211333,0.977414
-0.338379,0.631836,-1.12988,0.8509803921568627,0.796078431372549,0.7725490196078432,0.195452,-0.0621892,0.97874
-0.329346,0.635254,-1.13574,0.8274509803921568,0.792156862745098,0.7725490196078432,0.808192,-0.206917,0.551372
-0.322021,0.641602,-1.14844,0.8196078431372549,0.7764705882352941,0.7568627450980392,0.908926,-0.18062,0.375806
-0.318115,0.64502,-1.1543,0.807843137254902,0.7725490196078432,0.7450980392156863,0.896259,-0.283551,0.341054
-0.314697,0.648926,-1.16113,0.788235294117647,0.7529411764705882,0.7254901960784313,0.885094,-0.267587,0.380796
-0.310791,0.652344,-1.16699,0.807843137254902,0.7647058823529411,0.7372549019607844,0.837111,-0.343043,0.426107
-0.306396,0.655273,-1.17188,0.788235294117647,0.7529411764705882,0.7176470588235294,0.669845,-0.570608,0.475094
-0.301514,0.656738,-1.1748,0.792156862745098,0.7607843137254902,0.7137254901960784,0.450049,-0.733314,0.509614
-0.296631,0.658203,-1.17676,0.7843137254901961,0.7490196078431373,0.7137254901960784,0.145736,-0.762312,0.630589
-0.291016,0.658203,-1.17676,0.7725490196078432,0.7372549019607844,0.7019607843137254,-0.196128,-0.652901,0.73161
-0.285156,0.657715,-1.17578,0.7803921568627451,0.7450980392156863,0.7098039215686275,-0.426852,-0.511333,0.745879
-0.278564,0.655273,-1.17188,0.7725490196078432,0.7372549019607844,0.7019607843137254,-0.534309,-0.540721,0.649719
-0.272217,0.65332,-1.16895,0.7686274509803922,0.7333333333333333,0.6980392156862745,-0.543336,-0.470891,0.695017
-0.265869,0.651367,-1.16504,0.7607843137254902,0.7294117647058823,0.6823529411764706,-0.50939,-0.481605,0.713146
-0.259521,0.649414,-1.16211,0.7568627450980392,0.7215686274509804,0.6862745098039216,-0.403949,-0.533419,0.743162
