X,Y,Z,R,G,B,nX,nY,nZ
-0.0109177,0.0430908,-0.385498,50.0,16.0,8.0,-0.299444,-0.600722,0.74126
-0.0235748,0.0227509,-0.382324,41.0,21.0,1.0,-0.339908,0.663277,0.666728
-0.021698,0.0226898,-0.381348,32.0,13.0,0.0,-0.330147,0.660756,0.674096
-0.0198212,0.0226288,-0.380371,36.0,19.0,5.0,-0.328844,0.663735,0.671802
-0.0179596,0.0225677,-0.379395,31.0,13.0,2.0,-0.333435,0.663128,0.670136
-0.0161133,0.022522,-0.378418,33.0,16.0,2.0,-0.3448,0.66818,0.659279
-0.0142822,0.0224609,-0.377441,30.0,16.0,1.0,-0.1484,0.785089,0.601342
-0.0124893,0.0224609,-0.377441,36.0,19.0,5.0,-0.149355,0.785175,0.600994
-0.0106659,0.0223999,-0.376465,34.0,20.0,5.0,-0.149585,0.78593,0.599948
-0.00887299,0.0223999,-0.376465,37.0,23.0,8.0,-0.0421876,0.850401,0.524441
-0.00708389,0.0223999,-0.376465,36.0,22.0,7.0,0.0,0.870674,0.491861
-0.00529099,0.0223999,-0.376465,43.0,26.0,12.0,-0.310717,0.804759,0.505784
-0.00347519,0.0222168,-0.373291,38.0,21.0,7.0,-0.371263,0.764049,0.52763
-0.00169849,0.0222168,-0.373291,39.0,22.0,6.0,0.0,0.841524,0.54022
7.74264e-05,0.0222168,-0.373291,36.0,20.0,13.0,-0.0448403,0.851389,0.522615
0.00184822,0.0221558,-0.372314,34.0,20.0,12.0,0.275973,0.911297,0.305577
0.00363922,0.0222778,-0.374268,34.0,18.0,11.0,0.120321,0.943182,0.309727
0.00544739,0.0223999,-0.376465,36.0,21.0,11.0,0.283972,0.89059,0.355261
0.00727844,0.022522,-0.378418,32.0,17.0,5.0,0.264472,0.849973,0.455632
0.00910187,0.0225677,-0.379395,38.0,21.0,7.0,0.242252,0.772432,0.587079
0.0109329,0.0226288,-0.380371,37.0,18.0,3.0,0.210021,0.739968,0.639014
0.0127487,0.0226288,-0.380371,35.0,16.0,1.0,-0.251986,0.24953,0.935007
-0.0253143,0.020874,-0.381348,37.0,23.0,17.0,-0.330129,0.661644,0.673232
-0.0234375,0.0208282,-0.380371,32.0,23.0,18.0,-0.331622,0.662311,0.671842
-0.0215759,0.0207672,-0.379395,25.0,18.0,12.0,-0.332203,0.663472,0.670407
-0.0197144,0.0207214,-0.378418,21.0,13.0,10.0,-0.342266,0.669696,0.659061
