X,Y,Z,R,G,B,nX,nY,nZ
1.599120000000000055e-02,4.833980000000000221e-02,-2.379149999999999876e-01,7.254901960784313486e-01,5.568627450980392357e-01,3.607843137254901911e-01,-3.385029999999999983e-01,3.391640000000000210e-01,8.777150000000000230e-01
1.724240000000000148e-02,4.833980000000000221e-02,-2.379149999999999876e-01,7.254901960784313486e-01,5.607843137254902022e-01,3.529411764705882026e-01,0.000000000000000000e+00,5.820480000000000098e-01,8.131549999999999612e-01
1.849369999999999833e-02,4.833980000000000221e-02,-2.379149999999999876e-01,7.137254901960784492e-01,5.490196078431373028e-01,3.411764705882353033e-01,0.000000000000000000e+00,5.819929999999999826e-01,8.131939999999999724e-01
1.974489999999999926e-02,4.833980000000000221e-02,-2.379149999999999876e-01,7.098039215686274828e-01,5.411764705882352589e-01,3.450980392156862142e-01,0.000000000000000000e+00,5.820480000000000098e-01,8.131549999999999612e-01
2.099610000000000018e-02,4.833980000000000221e-02,-2.379149999999999876e-01,6.941176470588235059e-01,5.333333333333333259e-01,3.411764705882353033e-01,1.087889999999999968e-01,5.088599999999999790e-01,8.539480000000000404e-01
2.224730000000000110e-02,4.833980000000000221e-02,-2.379149999999999876e-01,6.666666666666666297e-01,5.098039215686274161e-01,3.450980392156862142e-01,2.035289999999999877e-01,4.070570000000000022e-01,8.904379999999999518e-01
1.224519999999999949e-02,4.708860000000000129e-02,-2.379149999999999876e-01,6.941176470588235059e-01,5.411764705882352589e-01,3.568627450980392246e-01,0.000000000000000000e+00,5.820199999999999818e-01,8.131739999999999524e-01
1.349640000000000041e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.098039215686274828e-01,5.411764705882352589e-01,3.529411764705882026e-01,0.000000000000000000e+00,5.819929999999999826e-01,8.131939999999999724e-01
1.474759999999999960e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.333333333333332815e-01,5.647058823529411686e-01,3.764705882352941124e-01,0.000000000000000000e+00,5.820199999999999818e-01,8.131739999999999524e-01
1.599120000000000055e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.568627450980391913e-01,5.882352941176470784e-01,4.000000000000000222e-01,-4.206509999999999971e-01,4.168040000000000078e-01,8.058079999999999687e-01
1.716610000000000011e-02,4.690550000000000275e-02,-2.368159999999999987e-01,7.490196078431372584e-01,5.803921568627451455e-01,3.843137254901961009e-01,-2.225380000000000136e-01,5.132729999999999793e-01,8.288710000000000244e-01
