X,Y,Z,R,G,B,nX,nY,nZ
0.0356445,0.0639038,-0.284912,0.3686274509803922,0.3529411764705882,0.3254901960784314,0.0,0.0,1.0
0.0386353,0.0639038,-0.284912,0.4901960784313725,0.4431372549019607,0.3725490196078431,0.0,0.0,1.0
0.0401306,0.0639038,-0.284912,0.5490196078431373,0.4862745098039215,0.403921568627451,0.0,0.956194,0.292734
0.041626,0.0639038,-0.284912,0.5764705882352941,0.5098039215686274,0.396078431372549,-0.0073196,0.961551,0.274531
0.0431213,0.0639038,-0.284912,0.5882352941176471,0.5019607843137255,0.392156862745098,0.0,0.961544,0.274651
0.0446167,0.0639038,-0.284912,0.5843137254901961,0.5019607843137255,0.3803921568627451,0.0,0.953461,0.301517
0.0336304,0.0523071,-0.238892,0.6784313725490196,0.5568627450980392,0.388235294117647,-0.0198918,0.957294,0.288431
0.0348816,0.0523071,-0.238892,0.6941176470588235,0.5725490196078431,0.3764705882352941,-0.014079,0.964208,0.264773
0.0359802,0.0520935,-0.237915,0.6745098039215687,0.5529411764705883,0.3568627450980392,-0.0140612,0.964226,0.264709
0.0372314,0.0520935,-0.237915,0.6588235294117647,0.5333333333333333,0.3490196078431372,-0.0101325,0.961595,0.274284
0.0384827,0.0520935,-0.237915,0.6666666666666666,0.5529411764705883,0.3843137254901961,0.0,0.6,0.8
0.0275879,0.0514832,-0.240845,0.6705882352941176,0.5529411764705883,0.3725490196078431,0.0,0.0,1.0
0.0288544,0.0514832,-0.240845,0.6823529411764706,0.5568627450980392,0.3725490196078431,-0.481485,0.0,0.876454
0.0299988,0.0512695,-0.239868,0.6901960784313725,0.5568627450980392,0.3568627450980392,-0.258669,0.0,0.965966
0.03125,0.0512695,-0.239868,0.6862745098039216,0.5529411764705883,0.3529411764705882,-0.486288,0.0,0.873799
0.0323792,0.0510559,-0.238892,0.7019607843137254,0.5686274509803921,0.3686274509803922,-0.455277,0.227638,0.860758
0.0336304,0.0510559,-0.238892,0.7058823529411765,0.5725490196078431,0.3725490196078431,-0.335377,0.335377,0.880366
0.034729,0.0508423,-0.237915,0.7176470588235294,0.5843137254901961,0.392156862745098,-0.346056,0.346056,0.872061
0.0359802,0.0508423,-0.237915,0.7137254901960784,0.5803921568627451,0.3803921568627451,-0.104941,0.459115,0.882157
0.0372314,0.0508423,-0.237915,0.7137254901960784,0.5803921568627451,0.3725490196078431,-0.266725,0.266725,0.926129
0.0383301,0.0506287,-0.236816,0.7019607843137254,0.5803921568627451,0.3843137254901961,-0.333964,0.166982,0.927677
0.0395508,0.0506287,-0.236816,0.6941176470588235,0.5764705882352941,0.396078431372549,0.0,0.0,1.0
0.0239868,0.0506287,-0.24292,0.6823529411764706,0.5490196078431373,0.3490196078431372,-0.329924,0.325996,0.885933
0.0251617,0.0504456,-0.241943,0.6941176470588235,0.5529411764705883,0.3568627450980392,-0.463826,0.242632,0.852053
0.0264282,0.0504456,-0.241943,0.6941176470588235,0.5607843137254902,0.3607843137254902,-0.229821,0.454169,0.860763
0.0275879,0.0502319,-0.240845,0.7019607843137254,0.5686274509803921,0.3686274509803922,-0.378148,0.175834,0.908893
0.0288544,0.0502319,-0.240845,0.6941176470588235,0.5607843137254902,0.3607843137254902,-0.329091,0.333104,0.883595
0.0299988,0.0500183,-0.239868,0.7058823529411765,0.5725490196078431,0.3725490196078431,-0.32959,0.333609,0.883219
0.03125,0.0500183,-0.239868,0.7019607843137254,0.5686274509803921,0.3686274509803922,-0.333325,0.333325,0.881923
0.0323792,0.0498047,-0.238892,0.7098039215686275,0.5764705882352941,0.3764705882352941,-0.543948,0.220232,0.809703
0.0334778,0.0495911,-0.237915,0.7333333333333333,0.6,0.4,-0.347103,0.347103,0.871228
0.034729,0.0495911,-0.237915,0.7333333333333333,0.6,0.392156862745098,-0.356843,0.359881,0.862061
0.0358276,0.0493774,-0.236816,0.7607843137254902,0.6313725490196078,0.4117647058823529,-0.266332,0.26962,0.925404
0.0370789,0.0493774,-0.236816,0.7647058823529411,0.6470588235294118,0.4235294117647059,-0.103562,0.464409,0.879545
0.0383301,0.0493774,-0.236816,0.7607843137254902,0.6509803921568628,0.4235294117647059,-0.121264,0.442006,0.888778
0.0395508,0.0493774,-0.236816,0.7333333333333333,0.6196078431372549,0.403921568627451,-0.142164,0.287882,0.947055
0.0406494,0.0491638,-0.23584,0.7372549019607844,0.6235294117647059,0.4156862745098039,-0.265929,0.0,0.963993
0.0418701,0.0491638,-0.23584,0.7098039215686275,0.596078431372549,0.396078431372549,0.0,0.0,1.0
0.0431213,0.0491638,-0.23584,0.6666666666666666,0.5607843137254902,0.4156862745098039,0.0,0.0,1.0
0.0176849,0.0495605,-0.243896,0.7215686274509804,0.6039215686274509,0.4235294117647059,0.0,0.5547,0.83205
0.0189667,0.0495605,-0.243896,0.7176470588235294,0.592156862745098,0.4078431372549019,0.0,0.5547,0.83205
0.0202484,0.0495605,-0.243896,0.7254901960784313,0.6039215686274509,0.4078431372549019,-0.354284,0.531426,0.76946
0.0214386,0.0493774,-0.24292,0.7411764705882353,0.6,0.396078431372549,-0.187519,0.545112,0.817123
0.0227051,0.0493774,-0.24292,0.7294117647058823,0.596078431372549,0.3529411764705882,-0.369621,0.541489,0.755096
0.0238953,0.0491638,-0.241943,0.7019607843137254,0.5568627450980392,0.3176470588235294,-0.129944,0.590215,0.796719
0.0251617,0.0491638,-0.241943,0.7098039215686275,0.5725490196078431,0.3490196078431372,-0.417915,0.417915,0.806656
0.0263214,0.0489502,-0.240845,0.7098039215686275,0.5686274509803921,0.3647058823529411,-0.219224,0.506628,0.833828
0.0275879,0.0489502,-0.240845,0.7254901960784313,0.5843137254901961,0.3803921568627451,-0.415135,0.410193,0.812037
0.0287323,0.0487671,-0.239868,0.7215686274509804,0.5882352941176471,0.3803921568627451,-0.407222,0.404769,0.818738
0.0298615,0.0485535,-0.238892,0.7176470588235294,0.5843137254901961,0.3843137254901961,-0.403387,0.408306,0.81888
0.0311279,0.0485535,-0.238892,0.7333333333333333,0.6,0.4,-0.199187,0.496754,0.844725
0.0322266,0.0483398,-0.237915,0.7372549019607844,0.6235294117647059,0.4235294117647059,-0.417686,0.417686,0.806893
0.0334778,0.0483398,-0.237915,0.7529411764705882,0.6392156862745098,0.4235294117647059,-0.360169,0.357129,0.861822
0.0345764,0.0481567,-0.236816,0.7803921568627451,0.6745098039215687,0.4666666666666667,-0.358552,0.358552,0.861905
