x,y,z
-6.604000000000000625e+01,6.536870000000000402e+01,-3.235684313587062206e+02
-6.545741818181818417e+01,5.571677272727271912e+01,-3.191639010382041306e+02
-6.548516363636362314e+01,5.424360909090908223e+01,-3.184663804904048447e+02
-6.549070909090909254e+01,5.275933636363636481e+01,-3.178422924849655828e+02
-6.551290000000000191e+01,5.129449090909090359e+01,-3.172493183088372461e+02
-6.553509090909091128e+01,4.983519090909089755e+01,-3.167007631663364009e+02
-6.557948181818181865e+01,4.839531818181817613e+01,-3.161623332336766907e+02
-6.564051818181819442e+01,4.697209090909090889e+01,-3.156301413393339317e+02
-6.568490909090910179e+01,4.554053636363636315e+01,-3.151529076566530421e+02
-6.574594545454546335e+01,4.412562727272727159e+01,-3.146705448575630726e+02
-6.567380909090911700e+01,4.271072727272726866e+01,-3.145009420036858501e+02
-6.573484545454547856e+01,4.116265454545453650e+01,-3.140567420649822452e+02
-6.566270909090911800e+01,3.961736363636362768e+01,-3.139225799142441247e+02
-6.560721818181819742e+01,3.808593636363635682e+01,-3.137754542465536360e+02
-6.557392727272727484e+01,3.656977272727272066e+01,-3.136132875538896769e+02
-6.554063636363638068e+01,3.505359999999999587e+01,-3.134737471064654528e+02
-6.552399090909092649e+01,3.355130909090908631e+01,-3.133323290727639687e+02
-6.550734545454547231e+01,3.205039999999999623e+01,-3.132123377886255184e+02
-6.533533636363637243e+01,3.013749999999999929e+01,-3.132559160661458009e+02
-6.517997272727274094e+01,2.823708181818182439e+01,-3.132341165959624050e+02
-6.515778181818181736e+01,2.633736363636364430e+01,-3.131454685779335705e+02
-6.500241818181817166e+01,2.457358181818182175e+01,-3.131002288928521011e+02
-6.484705454545455439e+01,2.280841818181818326e+01,-3.130097935384037555e+02
-6.469169090909090869e+01,2.104394545454545451e+01,-3.128765801424924575e+02
-6.453632727272726299e+01,1.928016363636363906e+01,-3.127029846347195416e+02
-6.438096363636363151e+01,1.751638545454545337e+01,-3.124914708712367428e+02
-6.422560000000000002e+01,1.575330454545454195e+01,-3.122445864056353457e+02
-6.407023636363636854e+01,1.399125818181818204e+01,-3.119649364665528992e+02
-6.391487272727272284e+01,1.222886545454545448e+01,-3.116552028695368790e+02
-6.391487272727272284e+01,1.087950727272727391e+01,-3.116636793994803156e+02
-6.391487272727272284e+01,9.529628181818180721e+00,-3.116734997442672466e+02
-6.378169999999999362e+01,8.180050090909093186e+00,-3.113870186662188644e+02
-6.375950909090908425e+01,6.695700454545455926e+00,-3.113470114078263578e+02
-6.373731818181817488e+01,5.211436818181817365e+00,-3.113056301843043912e+02
-6.371512727272726551e+01,3.727691363636362887e+00,-3.112621076636241924e+02
-6.369293636363636324e+01,2.244818636363635989e+00,-3.112157289712031343e+02
-6.367074545454544676e+01,7.619422727272729956e-01,-3.111658342120317684e+02
-6.363190909090909031e+01,-7.174668181818180113e-01,-3.110709487542972056e+02
-6.359307272727273386e+01,-2.196528636363636267e+00,-3.109704325587044877e+02
-6.355423636363637030e+01,-3.674554090909091020e+00,-3.108638335914292838e+02
-6.351539999999999964e+01,-5.152232272727272466e+00,-3.107507429235065501e+02
-6.347656363636363608e+01,-6.628689545454546028e+00,-3.106308144399099547e+02
-6.342108181818180412e+01,-8.099902363636363845e+00,-3.104600404922002781e+02
-6.338779090909090286e+01,-9.569516363636363820e+00,-3.103400190684769768e+02
-6.335449999999998028e+01,-1.103921636363636516e+01,-3.102126950938072696e+02
-6.332120909090907190e+01,-1.250735272727272829e+01,-3.100779282504499861e+02
-6.328791818181817064e+01,-1.397428000000000026e+01,-3.099355806690200552e+02
-6.323242727272727137e+01,-1.543427090909090715e+01,-3.097249263847497787e+02
-6.319358181818181208e+01,-1.689564454545454453e+01,-3.095516846907648869e+02
-6.315473636363635990e+01,-1.835563636363636064e+01,-3.093706557640052779e+02
-6.311589090909090061e+01,-1.981492727272727450e+01,-3.091818851692623866e+02
-6.306040000000000134e+01,-2.126450909090909391e+01,-3.089392445456305722e+02
-6.300490909090908787e+01,-2.271340000000000359e+01,-3.086888089151216263e+02
-6.296606363636362858e+01,-2.416576363636363567e+01,-3.084778583223251189e+02
-6.292721818181817639e+01,-2.561534545454545508e+01,-3.082601741335965926e+02
-6.288837272727273131e+01,-2.706354545454545502e+01,-3.080359672764279821e+02
-6.283288181818181783e+01,-2.850064545454545950e+01,-3.077589589418676042e+02
-6.277739090909091857e+01,-2.993774545454545333e+01,-3.074760981042727508e+02
-6.274410000000000309e+01,-3.138039090909090945e+01,-3.072506442953508667e+02
-6.269139090909091294e+01,-3.280917272727273115e+01,-3.069662777194098453e+02
-6.263868181818182279e+01,-3.423794545454546068e+01,-3.066777207302930037e+02
-6.258597272727272554e+01,-3.566394545454545550e+01,-3.063858806054249726e+02
-6.254990909090908957e+01,-3.709827272727272174e+01,-3.061371118748938898e+02
-6.249442727272726472e+01,-3.851872727272726848e+01,-3.058327412129656295e+02
-6.243894545454543987e+01,-3.993640909090908764e+01,-3.055273206453566672e+02
-6.238346363636362923e+01,-4.135686363636364149e+01,-3.052210681791148090e+02
-6.231133636363635731e+01,-4.276067272727272695e+01,-3.048716543351692962e+02
-6.225585454545454667e+01,-4.417280909090909091e+01,-3.045683415511957719e+02
-6.220037272727272892e+01,-4.558216363636363866e+01,-3.042674984828299785e+02
-6.212547272727272940e+01,-4.697210000000000463e+01,-3.039213227196069056e+02
-6.206999090909091876e+01,-4.837590909090909008e+01,-3.036290909113085945e+02
-6.201450909090909391e+01,-4.977694545454546216e+01,-3.033423127061287232e+02
-6.195902727272728328e+01,-5.117798181818181291e+01,-3.030617430517195316e+02
-6.190354545454545843e+01,-5.257623636363635455e+01,-3.027887423735082848e+02
-6.186748181818182246e+01,-5.398559999999999803e+01,-3.025688555678880221e+02
-6.181199090909091609e+01,-5.537553636363636400e+01,-3.023134385458415636e+02
-6.175650000000000972e+01,-5.676269999999999527e+01,-3.020688662227057648e+02
-6.171765454545455043e+01,-5.816095454545454402e+01,-3.018716970899131411e+02
