x,y,z
-6.535031999999999641e+01,5.786439000000000021e+01,-3.197586919360755928e+02
-6.420286999999999011e+01,4.188231999999999289e+01,-3.143395535456534162e+02
-6.383662999999999954e+01,2.677460000000000306e+01,-3.122973727809853699e+02
-6.243592999999999904e+01,1.322744400000000020e+01,-3.116019037413639126e+02
-6.211548999999998699e+01,-1.457023999999999875e+00,-3.114278829727145421e+02
-6.075438000000000471e+01,-1.426316900000000132e+01,-3.095991807691930262e+02
-5.993655000000001110e+01,-2.778015000000000256e+01,-3.075447563981360872e+02
-5.946650999999999243e+01,-4.207762999999999920e+01,-3.051124266599940711e+02
-5.851134999999999309e+01,-5.466919000000000040e+01,-3.024826909343501029e+02
-5.740664999999999907e+01,-6.490174000000000376e+01,-3.011969403330008390e+02
